Codigo,Producto,Marca,UN,Cant,Caja,Costo Unit,Total
,ROLIENRA 608 ZZ,MAXWELL,UN,20,11,0.69,13.80 
,ROLINERA SET 8,BTB,UN,1,11,,0.00 
,ROLINERA TX200,KOYO,UN,1,11,,0.00 
,ROLINERA 6005 RS,TUBO,UN,3,11,,0.00 
,ROLINERA 6302 2RS,KOTO TUBO,UN,1,11,,0.00 
,ROLINERA 6202 Z,TUBO,UN,3,11,,0.00 
,ROLINERA 6203 2Z ITALY,BOLSA TUBO,UN,11,11,,0.00 
,ROLINERA 6002 2RS,TUBO,UN,10,11,,0.00 
,ROLINERA 6001 RRS,TUBO,UN,10,11,,0.00 
,ROLINERA 6200 RS,TUBO,UN,10,11,,0.00 
,ROLINERA 6004 RS,TUBO ,UN,10,11,,0.00 
,ROLINERA 609 RS,TUBO,UN,2,11,,0.00 
,ROLINERA 6000Z,TUBO,UN,3,11,1.43,4.29 
,ROLINERA 607 RS ,TUBO ,UN,4,11,0.63,2.52 
,CUERPO DE ROLINERA HK1512,TUBO,UN,5,11,,0.00 
RR-M-1,RELE ELECTRONICO UNIVERSAL 1/10HP - 1/2 HP,,UN,3,,2.21,6.63 
